Job Title,Company Name,Location
DATA SCIENTIST SENIOR,TOTALENERGIES DIGITAL FACTORY,Paris
ANALYSTE SOC H/F,SYSDREAM,Tremblay-en-France
Data Engineer Confirmé(e) H/F - Lyon,EVOTEO,Lyon
Expert Big Data F/H,ORANGE,Rennes
Expert Business Intelligence F/H,ORANGE,Rennes
Senior Data Analyst (H/F),VROOMLY,Paris
Architecte Big Data F/H,ORANGE,Rennes
Analyste Production Big Data,LA SÉCURITÉ SOCIALE,Rouen
Senior Data Analyst,ORNIKAR,Paris
Data Engineer (H/F),WEMANITY,Lille
Ingénieur énergie datacenters F/H,BOUYGUES TELECOM,Vélizy-Villacoublay
Senior Data Manager,KANBIOS,Paris
Machine Learning Engineer (f/m/d) - Pricing Analytics- Remote-friendly 🚀,FREE2MOVE,Paris
Consultant(e) MSBI - Secteur ETEMS F/H,CGI,Paris
Data Analyst Senior,EXOTEC,Lille
Ingénieur développement SCALA / AWS - F/H,CS,Fontaine
Senior Consultant à Manager – Data Management F/H,IN EXTENSO,Paris
Senior Consultant à Manager – Data Governance F/H,IN EXTENSO,Paris
Principal Data Architect (F/H/X),AVIV GROUP,Paris
Principal Data Architect (F/H/X),SELOGER & MEILLEURS AGENTS,Paris
Data Engineer (H/F),EXTIA,Sophia-Antipolis
Architecte solution Big Data & Datascience - Services Publics - Nantes,SOPRA STERIA,Nantes
Expert produit Big Data & Data Science - Services Publics - Nantes,SOPRA STERIA,Nantes
Ingénieur Data - Services Publics - Nantes,SOPRA STERIA,Nantes
Machine Learning Engineer,LUCKY CART,Paris
Consultant BI Confirmé(e) H/F - Lyon,EVOTEO,Lyon
Data Analyst Confirmé(e) H/F - Lyon,EVOTEO,Lyon
Gestionnaire Data H/F,LEASECOM,Carquefou
Ingénieur Data - Services Publics - Nantes,SOPRA STERIA,Nantes
Data Scientist H/F,MALOU,Paris
Data Analyst (H/F),HARRY HOPE,Nancy
Data Analyst ESG F/H,BPIFRANCE.IO,Maisons-Alfort
Développeur Big Data F/H,BPIFRANCE.IO,Maisons-Alfort
Back office Data Repository Manager - CDI - Paris,GIREVE,Sèvres
